Pixel,,Wavenumber,Raman Shift,Dark,Reference,,Dark Subtracted #1,%TR #1,Absorbance #1,Irradiance (W/cm^2/nm) #1,RelativeIntensityCorrection_Ratio #1,ReferenceMaterialCorrection_Ratio #1,AbsoluteIrradianceCorrection_Ratio #1
0,317.79,31466.89,-31466.89,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
1,318.24,31423.03,-31423.03,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
2,318.68,31379.3,-31379.3,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
3,319.12,31335.7,-31335.7,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
4,319.57,31292.23,-31292.23,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
5,320.01,31248.88,-31248.88,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
6,320.45,31205.66,-31205.66,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
7,320.9,31162.57,-31162.57,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
8,321.34,31119.6,-31119.6,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
9,321.78,31076.76,-31076.76,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
10,322.23,31034.04,-31034.04,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
11,322.67,30991.44,-30991.44,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
12,323.11,30948.97,-30948.97,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
13,323.56,30906.62,-30906.62,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
14,324,30864.39,-30864.39,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
15,324.44,30822.28,-30822.28,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
16,324.88,30780.3,-30780.3,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
17,325.33,30738.43,-30738.43,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
18,325.77,30696.68,-30696.68,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
19,326.21,30655.06,-30655.06,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
20,326.65,30613.55,-30613.55,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
21,327.09,30572.16,-30572.16,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
22,327.54,30530.89,-30530.89,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
23,327.98,30489.74,-30489.74,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
24,328.42,30448.7,-30448.7,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
25,328.86,30407.78,-30407.78,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
26,329.31,30366.98,-30366.98,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
27,329.75,30326.29,-30326.29,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
28,330.19,30285.72,-30285.72,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
29,330.63,30245.26,-30245.26,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
30,331.07,30204.91,-30204.91,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
31,331.51,30164.68,-30164.68,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
