File Version,BWSpec4.11_1,,,,,,,,,
Run Name,,,,,,,,,,
Product Name,,,,,,,,,,
Batch No,,,,,,,,,,
Lot No,,,,,,,,,,
Sample Suppler,,,,,,,,,,
Sample Notes,,,,,,,,,,
Date,26-04-2022 17:59,,,,,,,,,
title,ZAFB,,,,,,,,,
model,BRC112P-V,,,,,,,,,
c code,ZAFB,,,,,,,,,
pixel_start,0,,,,,,,,,
pixel_end,2047,,,,,,,,,
integration times(ms),1,,,,,,,,,
average number,1,,,,,,,,,
time_multiply,1,,,,,,,,,
spectrometer_type,63,,,,,,,,,
yaxis,0,,,,,,,,,
yaxis_min,0,,,,,,,,,
yaxis_max,4000,,,,,,,,,
xaxis,1,,,,,,,,,
xaxis_min,0,,,,,,,,,
xaxis_max,2047,,,,,,,,,
irradiance_unit,0,,,,,,,,,
coefs_a0,317.794385,,,,,,,,,
coefs_a1,0.44357783,,,,,,,,,
coefs_a2,-3.30E-05,,,,,,,,,
coefs_a3,-1.18E-09,,,,,,,,,
coefs_b0,-724.4252583,,,,,,,,,
coefs_b1,2.299208464,,,,,,,,,
coefs_b2,-0.000220172,,,,,,,,,
coefs_b3,4.38E-07,,,,,,,,,
coefs_r0,1,,,,,,,,,
coefs_r1,0,,,,,,,,,
coefs_r2,0,,,,,,,,,
coefs_r3,0,,,,,,,,,
coefs_j0,1,,,,,,,,,
coefs_j1,0,,,,,,,,,
coefs_j2,0,,,,,,,,,
coefs_j3,0,,,,,,,,,
enable_coefs_r,0,,,,,,,,,
interval_time,1,,,,,,,,,
pixel_num,2048,,,,,,,,,
laser_wavelength,0,,,,,,,,,
laser_powerlevel,0,,,,,,,,,
Relative Intensity Correction Flag,0,,,,,,,,,
Pixel,Wavelength,Wavenumber,Raman Shift,Dark,Reference,Raw data #1,Dark Subtracted #1,%TR #1,Absorbance #1,Irradiance (W/cm^2/nm) #1
0,317.79,31466.89,-31466.89,0,65535,0,0,0,0,0
1,318.24,31423.03,-31423.03,0,65535,0,0,0,0,0
2,318.68,31379.3,-31379.3,0,65535,51,51,0,0,0
3,319.12,31335.7,-31335.7,0,65535,0,0,0,0,0
4,319.57,31292.23,-31292.23,0,65535,0,0,0,0,0
5,320.01,31248.88,-31248.88,0,65535,0,0,0,0,0
6,320.45,31205.66,-31205.66,0,65535,19,19,0,0,0
7,320.9,31162.57,-31162.57,0,65535,0,0,0,0,0
8,321.34,31119.6,-31119.6,0,65535,0,0,0,0,0
9,321.78,31076.76,-31076.76,0,65535,0,0,0,0,0
10,322.23,31034.04,-31034.04,0,65535,0,0,0,0,0
11,322.67,30991.44,-30991.44,0,65535,49,49,0,0,0
12,323.11,30948.97,-30948.97,0,65535,1,1,0,0,0
13,323.56,30906.62,-30906.62,0,65535,0,0,0,0,0
14,324,30864.39,-30864.39,0,65535,0,0,0,0,0
15,324.44,30822.28,-30822.28,0,65535,0,0,0,0,0
16,324.88,30780.3,-30780.3,0,65535,0,0,0,0,0
17,325.33,30738.43,-30738.43,0,65535,0,0,0,0,0
18,325.77,30696.68,-30696.68,0,65535,0,0,0,0,0
19,326.21,30655.06,-30655.06,0,65535,3,3,0,0,0
20,326.65,30613.55,-30613.55,0,65535,17,17,0,0,0
21,327.09,30572.16,-30572.16,0,65535,0,0,0,0,0
22,327.54,30530.89,-30530.89,0,65535,0,0,0,0,0
23,327.98,30489.74,-30489.74,0,65535,1,1,0,0,0
24,328.42,30448.7,-30448.7,0,65535,0,0,0,0,0
25,328.86,30407.78,-30407.78,0,65535,0,0,0,0,0
26,329.31,30366.98,-30366.98,0,65535,7,7,0,0,0
27,329.75,30326.29,-30326.29,0,65535,0,0,0,0,0
28,330.19,30285.72,-30285.72,0,65535,0,0,0,0,0
29,330.63,30245.26,-30245.26,0,65535,0,0,0,0,0
30,331.07,30204.91,-30204.91,0,65535,9,9,0,0,0
31,331.51,30164.68,-30164.68,0,65535,0,0,0,0,0
32,331.96,30124.56,-30124.56,0,65535,0,0,0,0,0
33,332.4,30084.56,-30084.56,0,65535,0,0,0,0,0
34,332.84,30044.66,-30044.66,0,65535,0,0,0,0,0
35,333.28,30004.88,-30004.88,0,65535,0,0,0,0,0
36,333.72,29965.21,-29965.21,0,65535,0,0,0,0,0
37,334.16,29925.65,-29925.65,0,65535,0,0,0,0,0
38,334.6,29886.2,-29886.2,0,65535,0,0,0,0,0
39,335.04,29846.86,-29846.86,0,65535,0,0,0,0,0
40,335.48,29807.63,-29807.63,0,65535,23,23,0,0,0
41,335.93,29768.51,-29768.51,0,65535,5,5,0,0,0
42,336.37,29729.49,-29729.49,0,65535,0,0,0,0,0
43,336.81,29690.59,-29690.59,0,65535,0,0,0,0,0
44,337.25,29651.79,-29651.79,0,65535,0,0,0,0,0
45,337.69,29613.1,-29613.1,0,65535,0,0,0,0,0
46,338.13,29574.51,-29574.51,0,65535,0,0,0,0,0
47,338.57,29536.03,-29536.03,0,65535,0,0,0,0,0
48,339.01,29497.66,-29497.66,0,65535,0,0,0,0,0
49,339.45,29459.39,-29459.39,0,65535,0,0,0,0,0
50,339.89,29421.23,-29421.23,0,65535,1,1,0,0,0
51,340.33,29383.17,-29383.17,0,65535,0,0,0,0,0
52,340.77,29345.22,-29345.22,0,65535,0,0,0,0,0
53,341.21,29307.37,-29307.37,0,65535,25,25,0,0,0
54,341.65,29269.62,-29269.62,0,65535,0,0,0,0,0
